ID,Event Name,Participant Type,Organization Rating (1–5),Content Rating (1–5),Venue Rating (1–5),Communication Rating (1–5),Overall Satisfaction (1–5),Comments,,,
1,Tech Fest 2025,Student,4,5,4,5,5,"Well-organized, loved the robotics contest.",,,
2,Cultural Fest,Faculty,3,4,3,4,4,"Good performances, timing can improve.",,,
3,Workshop on AI,Student,5,5,4,4,5,Very informative and interactive.,,,
4,Sports Meet,Student,4,3,5,3,4,"Venue was great, but coordination needed.",,,
5,Seminar on Innovation,Faculty,5,4,4,5,5,Excellent speakers and organization.,,,
6,Tech Fest 2025,Student,3,4,3,3,3,Crowd management can be improved.,,,
7,Workshop on AI,Student,4,5,4,4,5,Helpful for final year students.,,,
8,Cultural Fest,Student,5,4,5,4,5,Great music and lighting.,,,
9,Seminar on Innovation,Student,4,5,5,4,5,Motivating and well-managed.,,,
10,Sports Meet,Faculty,3,3,4,3,3,Scheduling issues.,,,
11,Tech Fest 2025,Student,4,4,4,4,4,Good exposure to tech trends.,,,
12,Cultural Fest,Student,5,5,5,5,5,Fantastic experience!,,,
13,Workshop on AI,Faculty,4,5,4,4,4,"Good content, lengthy session.",,,
14,Sports Meet,Student,4,4,5,4,5,Excellent arrangements.,,,
15,Seminar on Innovation,Student,5,4,4,4,5,Very useful for entrepreneurship ideas.,,,
16,Technical Symposium,Student,5,5,4,4,5,Engaging paper presentations.,,,
17,Alumni Meet,Faculty,4,3,4,4,4,Great interaction sessions.,,,
18,Cultural Fest,Student,5,4,5,5,5,Superb energy and coordination.,,,
19,Workshop on Cyber Security,Student,4,5,4,4,5,Very informative and practical.,,,
20,Tech Fest 2025,Faculty,4,4,5,4,5,"Well planned, great student participation.",,,
21,Sports Meet,Student,3,4,4,3,3,Matches started late.,,,
22,Seminar on Innovation,Faculty,5,5,4,5,5,Insightful topics and professional setup.,,,
23,Technical Symposium,Student,4,5,4,4,5,Nice platform for research sharing.,,,
24,Workshop on Cyber Security,Faculty,4,5,5,4,5,Excellent trainers and content.,,,
25,Alumni Meet,Student,5,4,4,5,5,Loved networking and career talks.,,,
